Column1;_8;_9
書評[しょひょう];その本についての批判的な書評があまりにも多いので、買う気が失せたよ。;Il y avait tellement de critiques d'un livre que je pensais lire que j'ai perdu mon désir de l'acheter.
編集者[へんしゅうしゃ];その本の編集者として任命されてから、過労気味です。;Depuis que j'ai été désigné comme éditeur du livre, je me sens surmené.
疫病[えきびょう];その村の人々は、全員疫病で亡くなりました。;Tout le monde dans ce village est mort de la peste.
棋士[きし];その棋士は、この建物に自分専用の練習部屋を構えています。;Le joueur de shogi a sa propre salle de pratique dans ce bâtiment.
樹皮[じゅひ];その樹皮は食べられますか？;L'écorce est-elle comestible ?
欄干[らんかん];その欄干は古いからもたれないほうがいい。;Ce garde-corps est ancien, il ne faut donc pas s'appuyer dessus.
歌劇[かげき];その歌劇の主人公は生粋のフランス人です。;Le personnage principal de cet opéra est un Français de souche.
殺人者[さつじんしゃ];その殺人者は、とう走中に大変な失ぱいをおかしてしまった。;Ce tueur a fait une terrible erreur en s'enfuyant.
見逃す[みのがす];その法律に抜け穴があることを今の今まで見逃していました。;Je n'avais pas remarqué qu'il y avait une faille dans la loi jusqu'à maintenant.
洞穴[どうけつ];その洞穴で躓いて、足首を捻挫しました。;Je suis tombé dans la grotte et je me suis foulé la cheville.
浮世絵[うきよえ];その浮世絵についてお話をしませんか？;Pourquoi ne parlons-nous pas de l'ukiyo-e ?
蜜[みつ];その熊は、蜜の入った瓶を五本、次々飲み干しました。;L'ours a avalé cinq pots de miel, l'un après l'autre.
鋭敏[えいびん];その犬の鋭敏な嗅覚は、何人もの麻薬密売人を捕らえました。;Le nez fin de ce chien a attrapé tant de trafiquants de drogue.
狂気[きょうき];その申し出を断るなんて狂気の沙汰だよ。;Vous devez être fou pour décliner cette offre.
裁く[さばく];その男が殺人犯であることがわかったが、時効を迎えているので法的には誰も彼を裁く事ができない。;Il s'est avéré que l'homme est un meurtrier, mais le délai de prescription a déjà expiré, donc personne n'est légalement en mesure de le juger.
聴く[きく];その癒し系の曲を聴いてると、眠くなってきたよ。;J'écoute cette chanson relaxante et je commence à m'endormir.
短刀[たんとう];その短刀、どこで買ったの？;Où as-tu acheté ce tanto ?
砂丘[さきゅう];その砂丘には駱駝もいるんですよ。;Il y a des chameaux sur cette dune de sable.
禅僧[ぜんそう];その禅僧は、すきっぱらに不味いものは無いという言葉を実感しました。;"Le prêtre zen a littéralement compris la phrase ""la faim est la meilleure sauce""."
禅宗[ぜんしゅう];その禅宗に関する映画は、この映画館で上映中です。;Le film sur la secte Zen du bouddhisme japonais est projeté dans ce théâtre.
紅[くれない];その紅色の花の名前は何ですか？;Comment s'appelle la fleur rouge foncé ?
航空母艦[こうくうぼかん];その航空母艦は突然視界から消えたんです。;Le porte-avions a soudainement disparu de mon champ de vision.
船舶[せんぱく];その船舶は、どこの国に登録されているものですか。;Dans quel pays ce navire est-il immatriculé ?
花壇[かだん];その花壇を見ると、いつも母を思い出します。;Je pense toujours à ma mère quand je vois un parterre de fleurs.
芸人[げいにん];その芸人は、まるでねむれる森の美女のようにねむっています。;Ce comédien dort comme la belle au bois dormant.
苗字[みょうじ];その苗字、初めて聞きました。;C'était la première fois que j'entendais ce nom de famille.
洞[ほら];その薄気味悪い洞は、村の北外れにひっそりと佇んでいました。;La grotte étrange se tenait silencieusement à la périphérie nord du village.
欠陥[けっかん];その製品に欠陥が見つかりました;Un défaut a été trouvé dans le produit
角[つの];その角を左に曲がりなさい、そうすれば駅が見つかりますよ。;Tournez à gauche à ce coin de rue, et vous trouverez la gare.
訴訟[そしょう];その訴訟に関する書類は、弁護士によって全てきちんとファイルされている。;Les documents liés au procès ont tous été correctement déposés par l'avocat.
阻止[そし];その証人が法廷で証言するのを、何としてでも阻止するんだ。;Faites tout ce qu'il faut pour empêcher ce témoin de témoigner devant le tribunal.
時期尚早[じきしょうそう];その話を持ち出すのは時期尚早だろう。;Je pense qu'il est prématuré d'aborder ce sujet.
謙虚な[けんきょな];その謙虚な男性が実はマフィアの一員だったなんて、信じられません。;Je n'arrive pas à croire que cet humble homme était en fait un membre de la mafia.
壊滅[かいめつ];その都市は原爆により壊滅しました。;La ville a été anéantie par la bombe atomique.
陳列室[ちんれつしつ];その陳列室には、いったい何が並べられているのですか。;Qu'est-ce qui est exposé dans la salle d'exposition ?
発行[はっこう];その雑誌は年に4回発行されているんだ。;その雑誌は年に4回発行されているんだ。
犠牲者[ぎせいしゃ];その飛行機事故では、事故で多くの犠牲者がでました。;De nombreuses victimes sont apparues de l'accident d'avion.
除外[じょがい];その馬はソエにより競争除外となりました。;Le cheval a été exclu de la course en raison d'une douleur au tibia.
騎兵[きへい];その騎兵の写真、なんだか若かりし頃を思い出すな。;Cette photo des cavaleries me rappelle un peu ma jeunesse.
騎士[きし];その騎士は、アメリカ国旗を掲げることを断った。;Le chevalier a refusé de faire flotter le drapeau américain.
騎手[きしゅ];その騎手は、自分の初めてのG1レースの日に朝寝坊をしました。;Le pilote a dormi trop longtemps le jour de sa première course en G1.
市外[しがい];そふ は しがい の びょういん に かよって いる の;Mon grand-père va dans un hôpital en dehors de la ville.
白髪[しらが];そふ は しらが が すくない ほう です;Mon grand-père a relativement peu de cheveux gris.
戦死[せんし];そふ は せんし しました;Mon grand-père est mort à la guerre.
戦場[せんじょう];そふ は せんじょう に いった こと が ある そう です;J'ai entendu dire que mon grand-père était allé sur le champ de bataille.
仮名遣い[かなづかい];そふ は ふるい かなづかい で かく こと が ある の;Mon grand-père écrit parfois dans l'ancienne orthographe kana.
明治[めいじ];そふ は めいじ の うまれ です;Mon grand-père est né à l'ère Meiji.
退く[しりぞく];ソフトボールチームのヘッドコーチのポジションを退くには、まだ早過ぎますよ。;Il est encore trop tôt pour que vous démissionniez de votre poste de coa chef du softball
抱く[だく];そぼ が うち の ねこ を だいて いる わ よ;Grand-mère tient notre chat.
漬け物[つけもの];そぼ は つけもの を じぶん で つくります;Ma grand-mère fait ses propres cornichons.
身近[みぢか];そもそも 事故[じこ]の 大半[たいはん]は 熱帯雨林[ねったいうりん]ではなく、 身近[みぢか]な 場所[ばしょ]でおこるのである。;La plupart des accidents se produisent autour d'un lieu familier et non pas dans la forêt tropicale.
忽ち[たちまち];そら が たちまち くもって きた ね;Le ciel s'assombrit soudain.
俄に[にわかに];そら が にわかに くらく なった な;Le ciel s'assombrit rapidement.
推測[すいそく];それ は かれ の すいそく に すぎない;Ce n'est rien de plus que sa conjecture.
間接[かんせつ];それ は かんせつてき な げんいん の ひとつ です;C'est une des causes indirectes.
極端[きょくたん];それ は きょくたん な いけん だ ね;C'est une opinion extrême.
細か[こまか];それ は こまか な もんだい です;C'est une question complexe.
学説[がくせつ];それ は さいしん の がくせつ ね;C'est la dernière théorie.
主観的[しゅかんてき];それ は しゅかんてき な いけん だ;C'est un avis subjectif.
革命[かくめい];それ は れきしじょう の おおき な かくめい です;C'est une révolution majeure dans l'histoire.
